,ProdDate,Actual_kWh,Production1,Production2,Feed,Weekday,BRP,check_feed
140,2019-05-21,206809.0,0.0,16229.0,15032.552424793652,Tuesday,BL,False
141,2019-05-22,131485.0,0.0,5829.0,4632.552424793651,Wednesday,BL,False
142,2019-05-23,159277.0,0.0,10456.0,9259.552424793652,Thursday,BL,False
143,2019-05-24,197081.0,0.0,14450.0,13253.552424793652,Friday,BL,False
146,2019-05-27,213607.0,0.0,18132.0,16935.552424793652,Monday,BL,False
148,2019-05-29,117333.0,0.0,5632.241246,4435.793670793651,Wednesday,BL,False
149,2019-05-30,195803.0,0.0,17070.6883,15874.240724793652,Thursday,BL,False
150,2019-05-31,221579.0,0.0,21287.9439,20091.49632479365,Friday,BL,False
151,2019-06-01,155903.0,0.0,9897.143185,8700.695609793653,Saturday,BL,False
153,2019-06-03,202943.0,0.0,18930.00383,17733.556254793653,Monday,BL,False
154,2019-06-04,224668.0,0.0,19830.85217,18634.40459479365,Tuesday,BL,False
155,2019-06-05,199352.0,5046.6075710000005,15675.64763,14479.200054793651,Wednesday,BL,False
156,2019-06-06,146221.0,8614.953518499999,9231.202405,8614.953518499999,Thursday,BL,False
157,2019-06-07,220298.0,19419.440835,21104.00684,19419.440835,Friday,BL,False
158,2019-06-08,204996.0,17735.642375000003,25044.2488,17735.642375000003,Saturday,BL,False
160,2019-06-10,222059.0,20689.54653,21081.84575,20689.54653,Monday,BL,False
161,2019-06-11,192091.0,12249.01717,14548.75616,12249.01717,Tuesday,BL,False
163,2019-06-13,163168.0,12105.47233,13245.68402,12105.47233,Thursday,BL,False
164,2019-06-14,217094.0,18311.261375,19967.14288,18311.261375,Friday,BL,False
165,2019-06-15,214098.0,16239.284305,19609.24126,16239.284305,Saturday,BL,False
167,2019-06-17,203348.0,15769.727085,17131.6313,15769.727085,Monday,BL,False
170,2019-06-20,167108.0,6998.983402,12308.26987,6998.983402,Thursday,BL,False
174,2019-06-24,201199.0,17774.62457,18005.88634,17774.62457,Monday,BL,False
175,2019-06-25,213777.0,16427.717095,17938.29501,16427.717095,Tuesday,BL,False
176,2019-06-26,207654.0,13333.534615,16451.28581,13333.534615,Wednesday,BL,False
177,2019-06-27,169684.0,10048.0750185,12525.82325,10048.0750185,Thursday,BL,False
178,2019-06-28,189659.0,19433.86084,15214.32093,19433.86084,Friday,BL,False
183,2019-07-03,207120.0,17655.081234999998,18515.47584,17655.081234999998,Wednesday,BL,False
184,2019-07-04,152362.0,9000.625856999999,10228.35868,9000.625856999999,Thursday,BL,False
185,2019-07-05,211189.0,17598.7784,20077.28761,17598.7784,Friday,BL,False
186,2019-07-06,114786.0,3987.8479725,6101.044804,3987.8479725,Saturday,BL,False
188,2019-07-08,176608.0,12589.439615,12586.16071,12589.439615,Monday,BL,False
189,2019-07-09,191513.0,17701.59781,17090.58367,17701.59781,Tuesday,BL,False
190,2019-07-10,198572.0,15283.86437,17501.34248,15283.86437,Wednesday,BL,False
191,2019-07-11,115052.0,6167.927695,5801.678209,6167.927695,Thursday,BL,False
192,2019-07-12,193504.0,15193.766335,16884.04392,15193.766335,Friday,BL,False
193,2019-07-13,206001.0,16210.566865,20159.67144,16210.566865,Saturday,BL,False
195,2019-07-15,197763.0,16013.62437,17261.15301,16013.62437,Monday,BL,False
196,2019-07-16,207287.0,16346.437214999998,19099.12466,16346.437214999998,Tuesday,BL,False
197,2019-07-17,200516.0,16578.235075,19009.77882,16578.235075,Wednesday,BL,False
198,2019-07-18,109152.0,4649.901557499999,5236.594751,4649.901557499999,Thursday,BL,False
199,2019-07-19,174855.0,11860.83663,13827.71984,11860.83663,Friday,BL,False
200,2019-07-20,179880.0,11788.08476,14830.24984,11788.08476,Saturday,BL,False
202,2019-07-22,181844.0,13227.261,14449.65975,13227.261,Monday,BL,False
203,2019-07-23,182445.0,13560.00034,15745.75466,13560.00034,Tuesday,BL,False
204,2019-07-24,198564.0,16147.09926,18600.18034,16147.09926,Wednesday,BL,False
205,2019-07-25,125772.0,6956.849924,8035.324319,6956.849924,Thursday,BL,False
206,2019-07-26,190390.0,15071.54156,17237.94629,15071.54156,Friday,BL,False
207,2019-07-27,195584.0,14244.80273,15784.71989,14244.80273,Saturday,BL,False
209,2019-07-29,211412.0,17821.397745000002,17329.48604,17821.397745000002,Monday,BL,False
210,2019-07-30,176733.0,9954.298926,9942.713698,9954.298926,Tuesday,BL,False
212,2019-08-01,169825.0,15831.495760000002,11338.80756,15831.495760000002,Thursday,BL,False
213,2019-08-02,188622.0,14277.72453,14612.65276,14277.72453,Friday,BL,False
214,2019-08-03,117916.0,6114.630937,6887.803713,6114.630937,Saturday,BL,False
219,2019-08-08,161367.0,13420.04829,12531.24076,13420.04829,Thursday,BL,False
220,2019-08-09,207291.0,18959.481735,20965.84723,18959.481735,Friday,BL,False
221,2019-08-10,202304.0,16837.803099999997,17590.17169,16837.803099999997,Saturday,BL,False
223,2019-08-12,191267.0,16849.293205,15363.14232,16849.293205,Monday,BL,False
224,2019-08-13,205662.0,16362.891575,16365.15279,16362.891575,Tuesday,BL,False
225,2019-08-14,220305.0,19457.539405,19977.0747,19457.539405,Wednesday,BL,False
226,2019-08-15,148458.0,10401.34824,10910.10186,10401.34824,Thursday,BL,False
227,2019-08-16,208113.0,19542.94821,18937.387,19542.94821,Friday,BL,False
228,2019-08-17,213184.0,18319.74264,20207.21125,18319.74264,Saturday,BL,False
230,2019-08-19,186532.0,15061.02992,14124.88547,15061.02992,Monday,BL,False
231,2019-08-20,210476.0,18208.762235,18141.0738,18208.762235,Tuesday,BL,False
232,2019-08-21,211288.0,18632.83275,18669.57322,18632.83275,Wednesday,BL,False
233,2019-08-22,166817.0,13139.065815,13290.89504,13139.065815,Thursday,BL,False
234,2019-08-23,187625.0,15909.287615,16005.69172,15909.287615,Friday,BL,False
235,2019-08-24,184785.0,12464.18133,14341.78408,12464.18133,Saturday,BL,False
237,2019-08-26,211203.0,19066.421395,17523.98198,19066.421395,Monday,BL,False
238,2019-08-27,215054.0,17087.08132,18343.71616,17087.08132,Tuesday,BL,False
239,2019-08-28,178403.0,11759.96037,13613.81349,11759.96037,Wednesday,BL,False
240,2019-08-29,122466.0,2115.847071,6552.400468,2115.847071,Thursday,BL,False
245,2019-09-03,204264.0,13272.00073,17208.71467,13272.00073,Tuesday,BL,False
247,2019-09-05,157701.0,13843.18298,12567.38366,13843.18298,Thursday,BL,False
248,2019-09-06,194949.0,16292.2907,18019.95343,16292.2907,Friday,BL,False
249,2019-09-07,126872.0,3337.5372965,5270.779568,3337.5372965,Saturday,BL,False
252,2019-09-10,210993.0,13272.0,19457.23218,18260.78460479365,Tuesday,BL,False
