,DateOnly,Actual_kWh,Production1,Production2,Feed
157,2019-06-07,220298.0,19419.440835,21104.00684,19419.440835
158,2019-06-08,204996.0,17735.642375000003,25044.2488,17735.642375000003
159,2019-06-09,71288.0,4424.7566585,,4424.7566585
160,2019-06-10,222059.0,20689.54653,21081.84575,20689.54653
161,2019-06-11,192091.0,12249.01717,14548.75616,12249.01717
162,2019-06-12,218817.0,9554.0958285,18317.24966,9554.0958285
163,2019-06-13,163168.0,12105.47233,13245.68402,12105.47233
164,2019-06-14,217094.0,18311.261375000002,19967.14288,18311.261375000002
165,2019-06-15,214098.0,16239.284305000001,19609.24126,16239.284305000001
166,2019-06-16,54984.0,697.80049,,697.80049
167,2019-06-17,203348.0,15769.727085,17131.6313,15769.727085
168,2019-06-18,205215.0,35.683093685,16583.1443,35.683093685
169,2019-06-19,225845.0,36.0,20758.29382,36.0
170,2019-06-20,167108.0,6998.983402,12308.26987,6998.983402
171,2019-06-21,205156.0,101.407964585,16903.37207,101.407964585
172,2019-06-22,196712.0,30.61859894,13883.92343,30.61859894
173,2019-06-23,53520.0,244.98462009999997,,244.98462009999997
174,2019-06-24,201199.0,17774.62457,18005.88634,17774.62457
175,2019-06-25,213777.0,16427.717095,17938.29501,16427.717095
176,2019-06-26,207654.0,13333.534615,16451.28581,13333.534615
177,2019-06-27,169684.0,10048.0750185,12525.82325,10048.0750185
178,2019-06-28,189659.0,19433.86084,15214.32093,19433.86084
179,2019-06-29,122775.0,19433.86084,6474.672881,19433.86084
180,2019-06-30,45299.0,19433.86084,,19433.86084
181,2019-07-01,202928.0,19433.86084,19147.85876,19433.86084
182,2019-07-02,200591.0,19433.86084,17529.19054,19433.86084
183,2019-07-03,207120.0,17655.081234999998,18515.47584,17655.081234999998
184,2019-07-04,152362.0,9000.625856999999,10228.35868,9000.625856999999
185,2019-07-05,211189.0,17598.7784,20077.28761,17598.7784
186,2019-07-06,114786.0,3987.8479725,6101.044804,3987.8479725
187,2019-07-07,44445.0,23.115471415,,23.115471415
188,2019-07-08,176608.0,12589.439615,12586.16071,12589.439615
189,2019-07-09,191513.0,17701.59781,17090.58367,17701.59781
190,2019-07-10,198572.0,15283.86437,17501.34248,15283.86437
191,2019-07-11,115052.0,6167.927695,5801.678209,6167.927695
192,2019-07-12,193504.0,15193.766335,16884.04392,15193.766335
193,2019-07-13,206001.0,16210.566865,20159.67144,16210.566865
194,2019-07-14,53012.0,530.5736856,,530.5736856
195,2019-07-15,197763.0,16013.624370000001,17261.15301,16013.624370000001
196,2019-07-16,207287.0,16346.437214999998,19099.12466,16346.437214999998
197,2019-07-17,200516.0,16578.235075,19009.77882,16578.235075
198,2019-07-18,109152.0,4649.901557499999,5236.594751,4649.901557499999
