,TimeStamp,3028,3301
241,2019-08-30,72.00120163,0
242,2019-08-31,72.00120163,0
243,2019-09-01,72.00120163,0
244,2019-09-02,7915.332051,8061.348198
245,2019-09-03,13128.00146,13416
246,2019-09-04,13128.00146,13416
247,2019-09-05,13788.71911,13897.64685
248,2019-09-06,16242.99312,16341.58828
249,2019-09-07,3340.703898,3334.370695
250,2019-09-08,4188.07025,4246.419835
251,2019-09-09,11410.05937,11653.92862
252,2019-09-10,13128,13416
253,2019-09-11,13128,13416
254,2019-09-12,13128,13416
255,2019-09-13,13128,13416
256,2019-09-14,13128,13416
257,2019-09-15,13128,13416
258,2019-09-16,13128,13416
259,2019-09-17,13128,13416
260,2019-09-18,13128,13416
261,2019-09-19,13128,13416
262,2019-09-20,13128,13416
263,2019-09-21,13128,13416
264,2019-09-22,13128,13416
265,2019-09-23,13128,13416
266,2019-09-24,13128,13416
267,2019-09-25,13128,13416
268,2019-09-26,13128,13416
269,2019-09-27,13128,13416
270,2019-09-28,13128,13416
271,2019-09-29,13128,13416
272,2019-09-30,13627.12564,13848.28589
273,2019-10-01,8737.703117,8827.945673
274,2019-10-02,14641.65197,14718.88439
275,2019-10-03,7763.641436,7713.783177
276,2019-10-04,8228.123091,8047.13539
277,2019-10-05,10923.53075,10873.51574
278,2019-10-06,577.2032856,517.8108617
279,2019-10-07,13045.3369,13227.44029
280,2019-10-08,10331.97768,10417.35923
281,2019-10-09,12899.61489,12952.06282
282,2019-10-10,9317.538091,9358.190002
283,2019-10-11,17772.1135,18001.19977
284,2019-10-12,8470.116074,8480.349263
285,2019-10-13,967.4906434,878.7806647
286,2019-10-14,123.5867672,48.91466743
287,2019-10-15,749.2616908,678.0128635
288,2019-10-16,15162.7651,15162.34151
289,2019-10-17,10044.42683,10037.99176
290,2019-10-18,15999.2036,15866.89893
291,2019-10-19,14257.29031,14091.81951
292,2019-10-20,988.116949,939.0196467
293,2019-10-21,13802.28887,13633.83059
294,2019-10-22,12630.94539,12480.56362
295,2019-10-23,16343.87235,16219.8849
296,2019-10-24,9169.779995,8999.540458
297,2019-10-25,10239.74921,10098.04657
298,2019-10-26,9185.584955,9089.33229
299,2019-10-27,9.463607531,8.33E-07
300,2019-10-28,0.0012,0
301,2019-10-29,32.94463664,0
302,2019-10-30,8298.811078,8175.497038
303,2019-10-31,6920.670012,6748.499198
304,2019-11-01,19184.71467,18834.1774
305,2019-11-02,12940.36821,12777.80068
306,2019-11-03,196.537223,125.032501
307,2019-11-04,17038.37622,17145.87667
308,2019-11-05,16732.43139,16731.56339
309,2019-11-06,7139.855081,7121.523991
310,2019-11-07,5397.170633,5386.167118
311,2019-11-08,17406.09234,17458.58353
312,2019-11-09,9898.361209,9951.456757
313,2019-11-10,773.9271046,720.9972544
314,2019-11-11,15607.88573,15777.13247
315,2019-11-12,7206.053478,7364.46049
316,2019-11-13,15722.11644,15791.46639
317,2019-11-14,5722.334318,5776.825186
318,2019-11-15,9460.899907,9545.874094
319,2019-11-16,19092.56144,19347.27891
320,2019-11-17,566.4744752,514.5025904
321,2019-11-18,17990.15829,18208.58206
322,2019-11-19,15723.59634,15771.03545
323,2019-11-20,9692.820187,9649.495448
324,2019-11-21,18844.2846,18924.54556
325,2019-11-22,14690.20887,14498.71329
326,2019-11-23,15410.09962,15366.3951
327,2019-11-24,5675.498946,5645.589506
328,2019-11-25,16875.86833,16907.44155
329,2019-11-26,8670.95822,8644.527679
330,2019-11-27,14584.7161,14589.27367
331,2019-11-28,6108.675127,6137.345186
332,2019-11-29,17212.80724,17167.51151
333,2019-11-30,16420.15544,15951.96577
334,2019-12-01,1025.820973,942.3539368
335,2019-12-02,14754.85487,14210.41498
336,2019-12-03,12659.4524,12042.77512
337,2019-12-04,4969.189282,4672.657598
338,2019-12-05,16494.82606,15671.91201
339,2019-12-06,14772.50308,14726.87904
340,2019-12-07,16114.7814,16192.65984
341,2019-12-08,229.3062222,176.0772027
342,2019-12-09,11911.16512,12229.84845
343,2019-12-10,6394.839859,6280.597397
344,2019-12-11,10013.10397,9984.724889
345,2019-12-12,15237.81961,14794.33323
346,2019-12-13,16242.13678,16029.69232
347,2019-12-14,16501.8799,15924.53914
348,2019-12-15,72.00120163,0
349,2019-12-16,896.1113632,771.6942981
350,2019-12-17,16945.46897,15757.47409
351,2019-12-18,15534.23257,15383.31453
352,2019-12-19,3734.9284,3659.887506
353,2019-12-20,20118.24328,19918.383
354,2019-12-21,16878.07943,16812.14297
355,2019-12-22,459.795148,379.3410956
356,2019-12-23,16945.68885,17046.18418
357,2019-12-24,10475.87489,10415.27176
358,2019-12-25,72.00120163,0
359,2019-12-26,13712.99914,13371.57398
360,2019-12-27,12287.42494,12135.81352
361,2019-12-28,14622.44983,14463.27296
362,2019-12-29,592.1444086,522.4940235
363,2019-12-30,17144.81969,16910.30864
364,2019-12-31,4161.298345,4052.512845
365,2020-01-01,72.00120163,0
366,2020-01-02,71.99359145,0
367,2020-01-03,5277.54336,5091.402811
368,2020-01-04,6417.04067,6256.971715
369,2020-01-05,448.865425,375.7827703
370,2020-01-06,10547.25333,10321.83686
371,2020-01-07,14254.31612,14009.24172
372,2020-01-08,6003.137504,5986.2668
373,2020-01-09,4935.586367,4850.879089
374,2020-01-10,13999.44972,13764.3522
375,2020-01-11,7891.114636,7843.305841
376,2020-01-12,1004.036884,945.6803428
377,2020-01-13,18087.17114,18184.0999
378,2020-01-14,15734.98879,15697.53877
379,2020-01-15,18139.93605,18010.53091
380,2020-01-16,7471.139627,7358.942596
381,2020-01-17,18686.31726,18539.43228
382,2020-01-18,10123.5574,9830.662862
383,2020-01-19,84.33561136,1.18E-10
384,2020-01-20,17639.03588,17733.1002
385,2020-01-21,18043.538,18078.5555
386,2020-01-22,16761.99739,16659.93345
387,2020-01-23,9040.947983,8978.320783
388,2020-01-24,11638.44893,11618.23373
389,2020-01-25,16809.05138,16578.8942
390,2020-01-26,5275.855414,5156.801882
391,2020-01-27,8546.567864,8436.578676
392,2020-01-28,6040.806207,5988.788908
393,2020-01-29,15916.32779,15685.84366
394,2020-01-30,7890.53972,7768.273519
395,2020-01-31,18406.94248,18353.19915
396,2020-02-01,4719.657998,4689.764297
397,2020-02-02,1007.312606,962.807714
398,2020-02-03,18787.08466,18853.67366
399,2020-02-04,17607.70308,17641.82567
400,2020-02-05,14837.59515,14736.71244
401,2020-02-06,12256.56669,11934.82266
402,2020-02-07,5750.153303,5503.688615
403,2020-02-08,15390.78893,15309.66652
404,2020-02-09,545.433114,478.2470934
405,2020-02-10,13252.27087,13112.89965
406,2020-02-11,17374.07416,17368.37114
407,2020-02-12,14792.31733,14665.05744
408,2020-02-13,5881.988331,5789.133259
409,2020-02-14,14049.01739,12735.8251
410,2020-02-15,15528.51409,12384.84889
411,2020-02-16,989.4342606,791.0188727
412,2020-02-17,15366.42419,13061.80124
413,2020-02-18,7561.195347,6438.364682
414,2020-02-19,3276.375347,2781.054364
415,2020-02-20,4227.065981,3670.476666
416,2020-02-21,19310.12894,16404.85873
417,2020-02-22,17330.98332,14177.38182
418,2020-02-23,898.4807386,901.086155
419,2020-02-24,18734.45187,20983.47166
420,2020-02-25,16150.39494,16251.57957
421,2020-02-26,19504.20799,19357.88835
422,2020-02-27,8684.886053,8313.960782
423,2020-02-28,18574.31036,16453.26281
424,2020-02-29,5824.195774,5143.021838
425,2020-03-01,1588.692614,1088.701574
426,2020-03-02,20290.88902,19922.54199
427,2020-03-03,15541.51774,14864.48201
428,2020-03-04,20676.30764,20906.74258
429,2020-03-05,5066.015831,5041.461497
430,2020-03-06,17282.56905,20244.29267
431,2020-03-07,13223.48704,15121.63822
432,2020-03-08,1076.369138,725.856433
433,2020-03-09,16082.93595,17602.19343
434,2020-03-10,16153.5895,17974.11413
435,2020-03-11,308.3329996,0
436,2020-03-12,229.3108519,0
437,2020-03-13,9604.749268,10884.82135
438,2020-03-14,18197.77789,20810.04451
439,2020-03-15,7544.835788,8653.869441
440,2020-03-16,11127.06763,12108.13262
441,2020-03-17,16080.64786,17013.01728
442,2020-03-18,13001.03098,15039.72443
443,2020-03-19,5830.390226,6478.933109
444,2020-03-20,16571.90615,18724.40096
445,2020-03-21,22655.99854,26016
446,2020-03-22,22655.99854,26016
447,2020-03-23,14314.53219,16934.61638
448,2020-03-24,16075.37249,19692.5616
449,2020-03-25,15738.16537,19309.43766
450,2020-03-26,4612.717636,5565.382193
451,2020-03-27,65.6591669,0.000561854
452,2020-03-28,59.39293566,0.012777723
453,2020-03-29,62.71847219,0
454,2020-03-30,51.05880252,0
455,2020-03-31,9198.870972,9338.549421
456,2020-04-01,18904.23737,19114.8152
457,2020-04-02,15290.55602,15427.29237
458,2020-04-03,4009.42047,4012.544183
459,2020-04-04,52.53242088,0
460,2020-04-05,62.873397,0
461,2020-04-06,64.40136932,0.298660592
462,2020-04-07,12616.61433,12811.20243
463,2020-04-08,19242.50121,19602.58613
464,2020-04-09,19452.90907,19774.14706
465,2020-04-10,10128.61531,10214.39125
466,2020-04-11,63.54797276,0
467,2020-04-12,65.43704809,0
468,2020-04-13,69.99857782,0
469,2020-04-14,12013.49806,12056.01206
470,2020-04-15,10191.32167,10338.63652
471,2020-04-16,70.24983907,0
472,2020-04-17,71.08658465,0.009402817
473,2020-04-18,71.91429345,0.010809191
474,2020-04-19,71.99399757,0
475,2020-04-20,71.84327106,0
476,2020-04-21,9178.354408,9392.713961
477,2020-04-22,16621.98595,16982.28208
478,2020-04-23,13659.60993,13764.79325
479,2020-04-24,2999.229441,2945.184589
480,2020-04-25,369.7667645,315.8010213
481,2020-04-26,71.93036395,1.16E-11
482,2020-04-27,10600.42479,10686.00265
483,2020-04-28,16000.4807,16135.4762
484,2020-04-29,10190.39264,10010.89292
485,2020-04-30,15007.16571,14534.38342
486,2020-05-01,71.14030448,0
487,2020-05-02,71.69820737,0
488,2020-05-03,70.56393873,0
489,2020-05-04,12641.47554,12375.84469
490,2020-05-05,18438.73086,18170.71166
491,2020-05-06,19596.55572,18970.76061
492,2020-05-07,10350.81954,9334.435613
493,2020-05-08,17258.68397,16453.12127
494,2020-05-09,11084.76656,11045.20283
495,2020-05-10,776.2973226,697.3882947
496,2020-05-11,19056.00447,19237.09978
497,2020-05-12,17460.53043,17400.67984
498,2020-05-13,19659.73737,19555.08568
499,2020-05-14,8989.234915,8888.767084
500,2020-05-15,15581.33514,15259.34444
501,2020-05-16,15177.63192,14965.85759
502,2020-05-17,5870.938458,5837.382223
503,2020-05-18,18624.36327,18826.34409
504,2020-05-19,16225.50857,16500.03531
505,2020-05-20,19174.41557,19541.91026
506,2020-05-21,9787.950416,9968.475528
507,2020-05-22,18472.56338,18653.68297
508,2020-05-23,19342.80318,19614.85995
509,2020-05-24,4914.77672,4930.93356
510,2020-05-25,19922.64211,17448.99132
511,2020-05-26,19691.08305,20041.3761
512,2020-05-27,19266.81553,19724.39123
513,2020-05-28,16324.58453,17391.76923
514,2020-05-29,15451.38742,15812.02594
515,2020-05-30,9749.939699,10119.81929
516,2020-05-31,223.592301,418.8009533
517,2020-06-01,15102.03218,15445.39887
518,2020-06-02,20121.32449,20478.71146
519,2020-06-03,17219.6417,17538.82501
520,2020-06-04,16983.37785,17157.49335
521,2020-06-05,95.27561888,261.1490589
522,2020-06-06,49.30423077,247.9779001
523,2020-06-07,28.3606725,147.4308983
524,2020-06-08,0,0
525,2020-06-09,0,0
526,2020-06-10,0,0
527,2020-06-11,0,0
528,2020-06-12,0,0
529,2020-06-13,0,0
530,2020-06-14,0,0
531,2020-06-15,1717.463203,9843.361439
532,2020-06-16,72.00239754,18696
533,2020-06-17,4845.030732,18087.99425
534,2020-06-18,17679.64032,19242.64899
535,2020-06-19,12451.77519,14846.24273
536,2020-06-20,14944.76271,15674.38719
537,2020-06-21,3895.200818,3986.853347
538,2020-06-22,16272.54695,17170.82589
539,2020-06-23,18750.22734,19787.17022
540,2020-06-24,18422.78805,19184.52811
541,2020-06-25,15582.15187,17129.96456
542,2020-06-26,12649.92038,13466.00772
543,2020-06-27,18048.53387,18953.0515
544,2020-06-28,3904.235594,4518.905382
545,2020-06-29,15955.21493,18509.49684
546,2020-06-30,16272.31341,17853.22594
547,2020-07-01,10926.85661,12157.06645
548,2020-07-02,17331.9952,19580.93692
549,2020-07-03,18504.73112,19286.81814
550,2020-07-04,14231.27116,15210.24713
551,2020-07-05,782.0117353,868.1837747
552,2020-07-06,16776.30865,18003.20365
553,2020-07-07,18027.86995,18845.92016
554,2020-07-08,14604.06721,14856.48942
555,2020-07-09,5522.857927,6190.959239
556,2020-07-10,20131.16808,19966.50882
557,2020-07-11,15564.85582,15625.34085
558,2020-07-12,1183.622886,3164.503809
559,2020-07-13,20349.74971,20570.18207
560,2020-07-14,14859.55878,21890.79822
561,2020-07-15,15470.04195,17307.93389
562,2020-07-16,1853.563378,3837.061241
563,2020-07-17,20099.39295,20366.40972
564,2020-07-18,19069.48441,19546.30286
565,2020-07-19,0.002400001,0
566,2020-07-20,12652.57201,0
567,2020-07-21,18966.82867,10455.54624
568,2020-07-22,14938.41513,17445.28243
569,2020-07-23,8949.832835,11069.81901
570,2020-07-24,20295.69652,21502.67942
571,2020-07-25,19897.51808,21386.76166
572,2020-07-26,4588.513292,5702.876139
573,2020-07-27,13751.20427,14168.95172
574,2020-07-28,16931.11298,18071.9677
575,2020-07-29,17377.28805,18415.90328
576,2020-07-30,10075.86521,12723.98139
577,2020-07-31,5535.986086,22450.73673
578,2020-08-01,28.36255965,13008.71858
579,2020-08-02,81.48885073,1292.653563
580,2020-08-03,1303.270698,21338.22816
581,2020-08-04,282.6588792,21229.00187
582,2020-08-05,694.4287656,20418.22237
583,2020-08-06,5919.217753,11215.54421
584,2020-08-07,19517.03811,21893.85959
585,2020-08-08,21297.46187,22452.19515
586,2020-08-09,6271.946699,6969.253857
587,2020-08-10,20438.39887,20660.67371
588,2020-08-11,17100.81933,17865.93515
589,2020-08-12,18145.67018,18193.75165
590,2020-08-13,11787.43631,21542.73219
591,2020-08-14,18457.92195,19405.05444
592,2020-08-15,15831.21052,15853.10025
593,2020-08-16,5213.16605,5491.065973
594,2020-08-17,20476.83836,20710.74743
595,2020-08-18,18450.5022,19081.68788
596,2020-08-19,19766.41926,20733.55899
597,2020-08-20,5748.078475,6368.057209
598,2020-08-21,18075.08772,18681.39956
599,2020-08-22,19202.00801,18894.33776
600,2020-08-23,1154.97173,1338.43313
601,2020-08-24,19549.21093,19811.592
602,2020-08-25,18654.07053,18804.93956
603,2020-08-26,20602.68238,20551.06934
604,2020-08-27,11316.90748,22817.23833
605,2020-08-28,20248.4273,20091.11342
606,2020-08-29,17537.92346,17221.44015
607,2020-08-30,1280.706215,1283.297053
608,2020-08-31,19557.24957,19432.49213
609,2020-09-01,11777.4508,11742.17533
610,2020-09-02,18977.72004,19034.91253
611,2020-09-03,7236.33524,7251.591284
612,2020-09-04,20045.86327,19974.08869
613,2020-09-05,18146.05156,18071.53496
614,2020-09-06,507.7825439,453.0797261
615,2020-09-07,18537.50472,18427.29636
616,2020-09-08,16456.63197,16323.18601
617,2020-09-09,19223.75187,19168.11864
618,2020-09-10,9271.492416,9224.123578
619,2020-09-11,16460.51009,16380.3869
620,2020-09-12,3855.227624,3755.670739
621,2020-09-13,1007.756202,949.6148249
622,2020-09-14,19149.11038,19006.95033
623,2020-09-15,17809.14049,17654.4432
624,2020-09-16,19808.41516,19628.5779
625,2020-09-17,10950.8654,10838.90519
626,2020-09-18,17493.60341,17272.22537
627,2020-09-19,19892.90966,19613.32937
628,2020-09-20,5568.335071,5458.828346
629,2020-09-21,20496.64471,20211.86469
630,2020-09-22,10836.94615,10639.61523
631,2020-09-23,6395.199514,6273.049719
632,2020-09-24,19456.81536,19108.65235
633,2020-09-25,18957.30423,18707.14991
634,2020-09-26,11365.2056,11118.15056
635,2020-09-27,904.1552797,838.7487767
636,2020-09-28,18696.73842,18393.67386
637,2020-09-29,17168.58931,16917.84272
638,2020-09-30,5027.894588,4883.418506
639,2020-10-01,5435.600387,5327.335287
640,2020-10-02,18366.74963,17988.90145
641,2020-10-03,11010.93458,10728.69683
642,2020-10-04,741.615347,656.9465776
643,2020-10-05,17959.3007,17526.56762
644,2020-10-06,15768.44756,15475.32714
645,2020-10-07,1099.039983,1023.309486
646,2020-10-08,8239.08086,8014.389597
647,2020-10-09,19979.45126,19489.52519
648,2020-10-10,17609.95986,17103.85885
649,2020-10-11,619.3447308,552.2774696
650,2020-10-12,18053.4411,17582.07361
651,2020-10-13,15967.39895,15571.93978
652,2020-10-14,2856.221195,2775.582553
653,2020-10-15,19961.87706,19714.92513
654,2020-10-16,21802.98779,22102.68164
655,2020-10-17,21802.98779,22102.68164
656,2020-10-18,21802.98779,22102.68164
657,2020-10-19,18392.94773,18134.27595
658,2020-10-20,9940.727697,9657.041095
659,2020-10-21,14090.91911,13821.43703
660,2020-10-22,9260.183823,9047.14027
661,2020-10-23,18891.89578,18523.61437
662,2020-10-24,11025.62692,10794.90012
663,2020-10-25,1042.374881,973.723214
664,2020-10-26,18434.61903,18074.78149
665,2020-10-27,17385.38053,17007.51886
666,2020-10-28,19172.87188,18924.24067
667,2020-10-29,8772.751736,8803.276668
668,2020-10-30,20435.10308,19330.48154
669,2020-10-31,10432.49691,10403.60747
670,2020-11-01,1143.010578,1150.750448
671,2020-11-02,18815.45503,18837.19057
672,2020-11-03,17830.03074,17259.48628
673,2020-11-04,17173.05119,16149.4791
674,2020-11-05,7240.748252,7206.130905
675,2020-11-06,17231.53856,17231.61233
676,2020-11-07,15831.62546,15851.64668
677,2020-11-08,594.769296,593.2263652
678,2020-11-09,16746.16819,16743.03351
679,2020-11-10,7220.258591,7213.153848
680,2020-11-11,0.0024,0
681,2020-11-12,6191.937858,6209.26628
682,2020-11-13,15914.14065,16015.73984
683,2020-11-14,13669.19761,13874.20727
684,2020-11-15,569.974068,562.6018768
685,2020-11-16,15800.77987,15801.39556
686,2020-11-17,15705.19442,15724.6616
687,2020-11-18,15688.62653,15692.45794
688,2020-11-19,8285.600492,8263.611433
689,2020-11-20,14463.32254,14486.37567
690,2020-11-21,1743.51952,1753.733488
691,2020-11-22,2055.838449,2092.906236
692,2020-11-23,0.0024,0.0024
693,2020-11-24,13297.52224,13341.97368
694,2020-11-25,10098.00426,10107.74783
695,2020-11-26,15927.06781,15926.51016
696,2020-11-27,10333.42593,10324.80682
697,2020-11-28,14999.64292,15008.79244
698,2020-11-29,3491.629798,3495.219881
699,2020-11-30,0.0024,0.002400833
700,2020-12-01,99.66219272,98.62928748
701,2020-12-02,14252.63392,14258.96784
702,2020-12-03,4353.814256,4348.282325
703,2020-12-04,11350.12289,11357.74853
704,2020-12-05,15158.36105,15173.64
705,2020-12-06,3777.03702,3776.950142
706,2020-12-07,0.0024,0
707,2020-12-08,0.0024,0
708,2020-12-09,6501.524509,0
709,2020-12-10,5399.092262,0
710,2020-12-11,16384.02908,0
711,2020-12-12,11752.76774,0
712,2020-12-13,11.41030268,0
713,2020-12-14,10689.94932,0
714,2020-12-15,17763.10283,0
715,2020-12-16,13761.07084,0
716,2020-12-17,5.453874019,0
717,2020-12-18,0,0
718,2020-12-19,0,0
719,2020-12-20,0,0
720,2020-12-21,0,0
721,2020-12-22,11412.21386,0
722,2020-12-23,16849.34251,0
723,2020-12-24,10624.88322,0
724,2020-12-25,71.99760246,0
725,2020-12-26,62.15831689,0
726,2020-12-27,3.513057978,0
727,2020-12-28,5708.522309,0
728,2020-12-29,13670.34533,0
729,2020-12-30,14087.98424,0
730,2020-12-31,9363.889237,0
731,2021-01-01,71.99760246,0
732,2021-01-02,10322.60542,0
733,2021-01-03,72.00239754,0
734,2021-01-04,9989.294861,0
735,2021-01-05,5391.919827,0
736,2021-01-06,71.99760246,0
737,2021-01-07,4354.364924,0
738,2021-01-08,16061.52119,0
739,2021-01-09,6280.275451,0
740,2021-01-10,375.2349543,0
741,2021-01-11,15428.25172,0
742,2021-01-12,17662.85339,0
743,2021-01-13,18152.16995,0
744,2021-01-14,5160.345388,0
745,2021-01-15,16534.29759,0
746,2021-01-16,9862.54485,0
747,2021-01-17,25.4730955,0
748,2021-01-18,0,0
749,2021-01-19,2788.048905,0
750,2021-01-20,71.99760246,0
