,DateOnly,Actual-kWh,DOW1,DOW2,Flag
257,2019-09-15,23830,7,Sunday,0
258,2019-09-16,95266,1,Monday,0
259,2019-09-17,75600,2,Tuesday,0
260,2019-09-18,109884,3,Wednesday,0
261,2019-09-19,76906,4,Thursday,0
262,2019-09-20,105790.5,5,Friday,0
263,2019-09-21,97401.5,6,Saturday,0
264,2019-09-22,25070,7,Sunday,0
265,2019-09-23,37125.5,1,Monday,0
266,2019-09-24,31114,2,Tuesday,0
267,2019-09-25,101197,3,Wednesday,0
268,2019-09-26,88473.5,4,Thursday,0
269,2019-09-27,107745.5,5,Friday,0
270,2019-09-28,106793.5,6,Saturday,0
271,2019-09-29,28162.5,7,Sunday,0
272,2019-09-30,98976.5,1,Monday,0
273,2019-10-01,72980,2,Tuesday,0
274,2019-10-02,90687.5,3,Wednesday,0
275,2019-10-03,65993.5,4,Thursday,0
276,2019-10-04,69877.5,5,Friday,0
277,2019-10-05,83416,6,Saturday,0
278,2019-10-06,28859.5,7,Sunday,0
279,2019-10-07,93800.5,1,Monday,0
280,2019-10-08,76158.5,2,Tuesday,0
281,2019-10-09,83882,3,Wednesday,0
282,2019-10-10,74922,4,Thursday,0
283,2019-10-11,101804.5,5,Friday,0
284,2019-10-12,78007,6,Saturday,0
285,2019-10-13,24640.5,7,Sunday,0
286,2019-10-14,35489.5,1,Monday,0
287,2019-10-15,29822.5,2,Tuesday,0
288,2019-10-16,96584,3,Wednesday,0
289,2019-10-17,72641,4,Thursday,0
290,2019-10-18,98470,5,Friday,0
291,2019-10-19,100256,6,Saturday,0
292,2019-10-20,24142,7,Sunday,0
293,2019-10-21,94413,1,Monday,0
294,2019-10-22,88066,2,Tuesday,0
295,2019-10-23,97091,3,Wednesday,0
296,2019-10-24,70809,4,Thursday,0
297,2019-10-25,77657,5,Friday,0
298,2019-10-26,79640.5,6,Saturday,0
299,2019-10-27,24640.5,7,Sunday,0
300,2019-10-28,67891.5,1,Monday,0
301,2019-10-29,63544,2,Tuesday,0
302,2019-10-30,104228,3,Wednesday,0
303,2019-10-31,60226.5,4,Thursday,0
304,2019-11-01,101032.5,5,Friday,0
305,2019-11-02,86080,6,Saturday,0
306,2019-11-03,23473,7,Sunday,0
307,2019-11-04,97462.5,1,Monday,0
308,2019-11-05,100851.5,2,Tuesday,0
309,2019-11-06,69927,3,Wednesday,0
310,2019-11-07,53141,4,Thursday,0
311,2019-11-08,96530,5,Friday,0
312,2019-11-09,73111,6,Saturday,0
313,2019-11-10,21080.5,7,Sunday,0
314,2019-11-11,96782,1,Monday,0
315,2019-11-12,69707,2,Tuesday,0
316,2019-11-13,100053,3,Wednesday,0
317,2019-11-14,57310,4,Thursday,0
318,2019-11-15,73977,5,Friday,0
319,2019-11-16,99059,6,Saturday,0
320,2019-11-17,24380,7,Sunday,0
321,2019-11-18,102598,1,Monday,0
322,2019-11-19,96158,2,Tuesday,0
323,2019-11-20,70466.5,3,Wednesday,0
324,2019-11-21,104288,4,Thursday,0
325,2019-11-22,94188,5,Friday,0
326,2019-11-23,91526,6,Saturday,0
327,2019-11-24,21080.5,7,Sunday,0
328,2019-11-25,96782,1,Monday,0
329,2019-11-26,69707,2,Tuesday,0
330,2019-11-27,100053,3,Wednesday,0
331,2019-11-28,57310,4,Thursday,0
332,2019-11-29,73977,5,Friday,0
333,2019-11-30,99059,6,Saturday,0
334,2019-12-01,24380,7,Sunday,0
335,2019-12-02,91771,1,Monday,0
336,2019-12-03,87653,2,Tuesday,0
337,2019-12-04,70571,3,Wednesday,0
338,2019-12-05,97502.5,4,Thursday,0
339,2019-12-06,97048.5,5,Friday,0
340,2019-12-07,94591.5,6,Saturday,0
341,2019-12-08,22540,7,Sunday,0
342,2019-12-09,83032.5,1,Monday,0
343,2019-12-10,67087.5,2,Tuesday,0
344,2019-12-11,73221,3,Wednesday,0
345,2019-12-12,98165.5,4,Thursday,0
346,2019-12-13,101088,5,Friday,0
347,2019-12-14,94347.5,6,Saturday,0
348,2019-12-15,20485,7,Sunday,0
349,2019-12-16,30423,1,Monday,0
350,2019-12-17,102387,2,Tuesday,0
351,2019-12-18,97543.5,3,Wednesday,0
352,2019-12-19,45356.5,4,Thursday,0
353,2019-12-20,104053.5,5,Friday,0
354,2019-12-21,95854.5,6,Saturday,0
355,2019-12-22,26645.5,7,Sunday,0
356,2019-12-23,95907.5,1,Monday,0
357,2019-12-24,68858.5,2,Tuesday,0
358,2019-12-25,18365.5,3,Wednesday,0
359,2019-12-26,78655,4,Thursday,0
360,2019-12-27,76270.5,5,Friday,0
361,2019-12-28,95212.5,6,Saturday,0
362,2019-12-29,25358,7,Sunday,0
363,2019-12-30,97304.5,1,Monday,0
364,2019-12-31,77828.5,2,Tuesday,0
365,2020-01-01,97543.5,3,Wednesday,0
366,2020-01-02,45356.5,4,Thursday,0
367,2020-01-03,104053.5,5,Friday,0
368,2020-01-04,95854.5,6,Saturday,0
369,2020-01-05,26645.5,7,Sunday,0
370,2020-01-06,95907.5,1,Monday,0
371,2020-01-07,96671.5,2,Tuesday,0
372,2020-01-08,55859.5,3,Wednesday,0
373,2020-01-09,48477.5,4,Thursday,0
374,2020-01-10,84730,5,Friday,0
375,2020-01-11,56062.5,6,Saturday,0
376,2020-01-12,19570.5,7,Sunday,0
377,2020-01-13,99874.5,1,Monday,0
378,2020-01-14,96308,2,Tuesday,0
379,2020-01-15,102186,3,Wednesday,0
380,2020-01-16,75541.5,4,Thursday,0
381,2020-01-17,101624.5,5,Friday,0
382,2020-01-18,67513.5,6,Saturday,0
383,2020-01-19,19041,7,Sunday,0
384,2020-01-20,101458.5,1,Monday,0
385,2020-01-21,100185,2,Tuesday,0
386,2020-01-22,104570,3,Wednesday,0
387,2020-01-23,68302,4,Thursday,1
388,2020-01-24,85139,5,Friday,0
389,2020-01-25,97737.5,6,Saturday,0
390,2020-01-26,45304,7,Sunday,0
391,2020-01-27,70470,1,Monday,0
392,2020-01-28,60190.5,2,Tuesday,0
393,2020-01-29,95778.5,3,Wednesday,2
394,2020-01-30,60401.5,4,Thursday,0
395,2020-01-31,102574,5,Friday,0
396,2020-02-01,44661,6,Saturday,0
397,2020-02-02,20065,7,Sunday,0
398,2020-02-03,99709.5,1,Monday,0
399,2020-02-04,103187.5,2,Tuesday,0
400,2020-02-05,96539,3,Wednesday,0
401,2020-02-06,84356,4,Thursday,0
402,2020-02-07,56904,5,Friday,0
403,2020-02-08,96232.5,6,Saturday,0
404,2020-02-09,22953,7,Sunday,0
405,2020-02-10,91840.5,1,Monday,0
406,2020-02-11,101616.5,2,Tuesday,0
407,2020-02-12,95753.5,3,Wednesday,0
408,2020-02-13,60418.5,4,Thursday,0
409,2020-02-14,89157,5,Friday,0
410,2020-02-15,96316,6,Saturday,0
411,2020-02-16,25232.5,7,Sunday,0
412,2020-02-17,92798.5,1,Monday,0
413,2020-02-18,73645.5,2,Tuesday,0
414,2020-02-19,50978,3,Wednesday,0
415,2020-02-20,45336,4,Thursday,0
416,2020-02-21,100222,5,Friday,0
417,2020-02-22,97216,6,Saturday,0
418,2020-02-23,24031.5,7,Sunday,0
419,2020-02-24,99141,1,Monday,0
420,2020-02-25,99470.5,2,Tuesday,0
421,2020-02-26,106242,3,Wednesday,0
422,2020-02-27,66859,4,Thursday,0
423,2020-02-28,92512.5,5,Friday,0
424,2020-02-29,55577.5,6,Saturday,0
425,2020-03-01,24388.5,7,Sunday,0
426,2020-03-02,107952,1,Monday,0
427,2020-03-03,94737,2,Tuesday,0
428,2020-03-04,106409,3,Wednesday,0
429,2020-03-05,56577,4,Thursday,0
430,2020-03-06,104289,5,Friday,0
431,2020-03-07,89063,6,Saturday,0
432,2020-03-08,25366,7,Sunday,0
433,2020-03-09,99524,1,Monday,0
434,2020-03-10,101973.5,2,Tuesday,0
435,2020-03-11,33682,3,Wednesday,0
436,2020-03-12,34698.5,4,Thursday,0
437,2020-03-13,96668.5,5,Friday,0
438,2020-03-14,97027.5,6,Saturday,0
439,2020-03-15,21927,7,Sunday,0
440,2020-03-16,105110,1,Monday,0
441,2020-03-17,101102,2,Tuesday,0
442,2020-03-18,90131,3,Wednesday,0
443,2020-03-19,62181.5,4,Thursday,0
444,2020-03-20,94264.5,5,Friday,0
445,2020-03-21,57512,6,Saturday,0
446,2020-03-22,25366,7,Sunday,0
447,2020-03-23,99524,1,Monday,0
448,2020-03-24,101973.5,2,Tuesday,0
449,2020-03-25,33682,3,Wednesday,0
450,2020-03-26,34698.5,4,Thursday,0
451,2020-03-27,96668.5,5,Friday,0
452,2020-03-28,52105.5,6,Saturday,0
453,2020-03-29,13585.5,7,Sunday,0
454,2020-03-30,15279,1,Monday,0
455,2020-03-31,62131,2,Tuesday,0
456,2020-04-01,99982,3,Wednesday,0
457,2020-04-02,95355,4,Thursday,0
458,2020-04-03,45673.5,5,Friday,0
459,2020-04-04,23275.5,6,Saturday,0
460,2020-04-05,17582,7,Sunday,0
461,2020-04-06,20189.5,1,Monday,0
462,2020-04-07,75265.5,2,Tuesday,0
463,2020-04-08,104738.5,3,Wednesday,0
464,2020-04-09,99874,4,Thursday,0
465,2020-04-10,67555.5,5,Friday,0
466,2020-04-11,23128.5,6,Saturday,0
467,2020-04-12,19674,7,Sunday,0
468,2020-04-13,21061.5,1,Monday,0
469,2020-04-14,74996.5,2,Tuesday,0
470,2020-04-15,71429,3,Wednesday,0
471,2020-04-16,31266,4,Thursday,0
472,2020-04-17,25492.5,5,Friday,0
473,2020-04-18,23400,6,Saturday,0
474,2020-04-19,21063,7,Sunday,0
475,2020-04-20,24510,1,Monday,0
476,2020-04-21,69391,2,Tuesday,0
477,2020-04-22,98597.5,3,Wednesday,0
478,2020-04-23,87203.5,4,Thursday,0
479,2020-04-24,41456.5,5,Friday,0
480,2020-04-25,24955,6,Saturday,0
481,2020-04-26,18920.5,7,Sunday,0
482,2020-04-27,71457.5,1,Monday,0
483,2020-04-28,100756,2,Tuesday,0
484,2020-04-29,76035.5,3,Wednesday,0
485,2020-04-30,93208.5,4,Thursday,0
486,2020-05-01,25762.5,5,Friday,0
487,2020-05-02,23584,6,Saturday,0
488,2020-05-03,20441,7,Sunday,0
489,2020-05-04,80313.5,1,Monday,0
490,2020-05-05,105318,2,Tuesday,0
491,2020-05-06,107971,3,Wednesday,0
492,2020-05-07,75789,4,Thursday,0
493,2020-05-08,101027.5,5,Friday,0
494,2020-05-09,77668.5,6,Saturday,0
495,2020-05-10,26629.5,7,Sunday,0
496,2020-05-11,106473,1,Monday,0
497,2020-05-12,105400,2,Tuesday,0
498,2020-05-13,108828.5,3,Wednesday,0
499,2020-05-14,73345,4,Thursday,0
500,2020-05-15,102649.5,5,Friday,0
